iso_code;year;nodf_drought;nodf_earthquakes;nodf_volcanic_activity;nodf_floods;nodf_storms;nodf_landslides;nodf_wildfires;nodf_extreme_temperatures
ECU;2020;0;0.33;0;27.33;0;0;0;0
EGY;1950;0;2;0;0;0;0;0;0
EGY;1960;0;0.2;0;0;0;0;0;0
EGY;1970;0;0;0;6.5;0.3;0;0;0
EGY;1980;0;0;0;0;3;0;0;0
EGY;1990;0;56.2;0;62.4;1.8;0;0;5.4
EGY;2000;0;0;0;1.8;1.3;0;0;0.3
EGY;2010;0;0;0;2.7;8.8;0;0;11
EGY;2020;0;0;0;14.33;0;0;0;0
SLV;1950;0;110;0;0;0;0;0;0
SLV;1960;0;12.5;0;0;0.2;0;0;0
SLV;1970;0;0;0;0;0;0;0;0
SLV;1980;0;112;0;54.3;0;2.2;0;0
SLV;1990;0;0;0;1.7;49.1;2.2;0;0
SLV;2000;0;116;0.2;8.3;34.5;0;0;0.1
SLV;2010;0;0.1;0;4;3.9;0;0;0
SLV;2020;0;0;0;1.67;14.67;14;0;0
ERI;1950;0;0;0;0;0;0;0;0
ERI;1960;0;0;0;0;0;0;0;0
ERI;1970;0;0;0;0;0;0;0;0
ERI;1980;0;0;0;0;0;0;0;0
ERI;1990;0;0;0;0;0.3;0;0;0
ERI;2000;0;0;0;0;0;0;0;0
ERI;2010;0;0;0;0;0;0;0;0
ERI;2020;0;0;0;0;0;0;0;0
EST;1950;0;0;0;0;0;0;0;0
EST;1960;0;0;0;0;0;0;0;0
EST;1970;0;0;0;0;0;0;0;0
EST;1980;0;0;0;0;0;0;0;0
EST;1990;0;0;0;0;0;0;0;0
EST;2000;0;0;0;0;0;0;0;0.3
EST;2010;0;0;0;0;0;0;0;0.8
EST;2020;0;0;0;0;0;0;0;0
SWZ;1950;0;0;0;0;0;0;0;0
SWZ;1960;0;0;0;0;0;0;0;0
SWZ;1970;0;0;0;0;0;0;0;0
SWZ;1980;50;0;0;0;5.3;0;0;0
SWZ;1990;0;0;0;0;0;0;0;0
SWZ;2000;0;0;0;0;0.1;0;0.2;0
SWZ;2010;0;0;0;1.1;0;0;0;0
SWZ;2020;0;0;0;0;0;0;0;0
ETH;1950;0;0;0;0;0;0;0;0
ETH;1960;200;5.4;0;0.1;0;0;0;0
ETH;1970;10000;0;6.4;1.6;0;0;0;0
ETH;1980;30036.7;0;0;5.4;0;0;0;0
