iso_code;year;total_reconstruction_costs;total_insured_damages;total_economic_damages
LBY;1980;0;0;0
LBY;1990;0;0;4220000
LBY;2000;0;0;0
LBY;2010;0;0;710000
LBY;2020;0;0;0
LTU;1950;0;0;0
LTU;1960;0;0;100000
LTU;1970;0;0;0
LTU;1980;0;0;0
LTU;1990;0;0;510000
LTU;2000;0;600000;3000000
LTU;2010;0;0;0
LTU;2020;0;0;0
LUX;1950;0;0;0
LUX;1960;0;0;0
LUX;1970;0;0;0
LUX;1980;0;0;0
LUX;1990;0;24000000;44290000
LUX;2000;0;0;22557300
LUX;2010;0;13300000;3100000
LUX;2020;0;0;0
MAC;1950;0;0;0
MAC;1960;0;0;8510000
MAC;1970;0;0;7650000
MAC;1980;0;0;0
MAC;1990;0;0;6720000
MAC;2000;0;0;5000
MAC;2010;0;0;296200000
MAC;2020;0;0;544333300
MDG;1950;0;0;0
MDG;1960;0;0;21890000
MDG;1970;0;0;113672000
MDG;1980;0;0;196335400
MDG;1990;0;0;596033900
MDG;2000;0;0;265087600
MDG;2010;0;0;1421839900
MDG;2020;0;0;88333336
MWI;1950;0;0;0
MWI;1960;0;0;70000
MWI;1970;0;0;0
MWI;1980;0;0;2800000
MWI;1990;0;0;2408900
MWI;2000;0;0;770000
MWI;2010;0;0;39000000
MWI;2020;0;0;0
MYS;1950;0;0;0
MYS;1960;0;0;2660000
MYS;1970;0;0;3700000
MYS;1980;0;0;1150000
MYS;1990;0;0;35500000
MYS;2000;0;0;150100000
MYS;2010;0;0;41800200
MYS;2020;0;0;489013340
MDV;1950;0;0;0
MDV;1960;0;0;0
MDV;1970;0;0;0
MDV;1980;0;0;600000
MDV;1990;0;0;3000000
MDV;2000;0;0;47010000
MDV;2010;0;0;0
MDV;2020;0;0;0
MLI;1950;0;0;0
MLI;1960;0;0;0
MLI;1970;0;0;0
MLI;1980;0;0;0
MLI;1990;0;0;0
MLI;2000;0;0;0
MLI;2010;0;0;0
MLI;2020;0;0;0
MHL;1950;0;0;0
MHL;1960;0;0;0
MHL;1970;0;0;0
MHL;1980;0;0;0
MHL;1990;0;0;0
MHL;2000;0;0;0
MHL;2010;0;0;0
MHL;2020;0;0;0
MTQ;1950;0;0;0
MTQ;1960;0;0;4000000
MTQ;1970;0;0;8100000
MTQ;1980;0;0;6800000
MTQ;1990;0;0;16001000
MTQ;2000;0;12500000;30000000
MTQ;2010;0;0;4400000
MTQ;2020;0;0;0
MRT;1950;0;0;0
MRT;1960;0;0;0
MRT;1970;0;0;0
MRT;1980;0;0;0
MRT;1990;0;0;0
MRT;2000;0;0;0
MRT;2010;0;0;200000
MRT;2020;0;0;0
MUS;1950;0;0;0
MUS;1960;0;0;500000
MUS;1970;0;0;37500000
MUS;1980;0;0;6097300
MUS;1990;0;0;13540000
MUS;2000;0;0;5000000
MUS;2010;0;0;690000
MUS;2020;0;0;0
MEX;1950;0;0;8500000
MEX;1960;0;0;22190000
MEX;1970;0;0;25430000
MEX;1980;0;0;495980000
MEX;1990;0;39800000;633781000
MEX;2000;0;368000000;1308960000
MEX;2010;0;589200000;2721100500
MEX;2020;0;0;510000004
FSM;1950;0;0;0
FSM;1960;0;0;3400000
FSM;1970;0;0;2550000
FSM;1980;0;0;600000
FSM;1990;0;0;0
FSM;2000;0;0;50000
FSM;2010;0;0;1100000
FSM;2020;0;0;0
MDA;1950;0;0;0
MDA;1960;0;0;0
MDA;1970;0;0;0
MDA;1980;0;0;0
MDA;1990;0;0;52900000
MDA;2000;0;0;4018400
MDA;2010;0;0;0
MDA;2020;0;0;0
