iso_code;year;drought;earthquakes;volcanic_activity;floods;storms;landslides;wildfires;extreme_temperatures;disasters
CAF;1960;0;0;0;0;0;0;0;0;0
CAF;1970;0;0;0;0;0;0;0;0;0
CAF;1980;0;0;0;0;0;0;0;0;0
CAF;1990;0;0;0;0;0;0;0;0;0
CAF;2000;0;0;0;0;30;0;0;0;30
CAF;2010;0;0;0;0;0;0;0;0;0
CAF;2020;0;0;0;0;0;0;0;0;0
TCD;1950;0;0;0;0;0;0;0;0;0
TCD;1960;0;0;0;0;0;0;0;0;0
TCD;1970;0;0;0;1300;0;0;0;0;1300
TCD;1980;0;0;0;0;90;0;0;0;185
TCD;1990;0;0;0;3795.7;0;0;8.May;0;7661.8
TCD;2000;0;0;0;600;913.7;0;0;0;7307.2
TCD;2010;0;0;0;8593.1;1533.9;0;0;0;10520.5
TCD;2020;0;0;0;40,650,668;0;0;10000;0;50,653,332
CHL;1950;0;0;0;0;0;0;0;0;0
CHL;1960;90000;0;0;0;0;0;0;0;90000
CHL;1970;0;0;0;0;0;0;0;0;10
CHL;1980;150000;0;0;4745;120;0;0;0;154919.8
CHL;1990;65600;0;0;16884.9;0;0;0;0;91120.6
CHL;2000;320000;0;0;36388.3;0;0;0;0;357627.3
CHL;2010;348680;0;0;75863.3;0;0;0;0;424547
CHL;2020;700000;0;0;461261.66;0;0;0;0;1168781
CHN;1950;0;0;0;0;0;0;0;0;9
CHN;1960;12000;202300;200;35000;0;0;0;0;252335.6
CHN;1970;0;234852.2;0;4600;9000;0;0;0;250177.3
CHN;1980;0;98129.2;200;17848.2;23385.4;0;0;0;210440.2
CHN;1990;0;4120;6235;7029.3;225;6500;30;1000;33541.8
CHN;2000;0;5246.3;800;64157;211.2;0;0;2500;76443
CHN;2010;0;308115.6;1110;18425.7;93.4;0;1805.7;2562.5;416898.4
CHN;2020;0;0;0;200;17,366,667;0;0;0;377
COL;1950;0;0;0;1000000;0;0;0;0;1015373.3
COL;1960;0;0;0;0;0;0;0;0;5589.5
COL;1970;600000;200;0;1100000;606.5;0;0;0;1775347.6
COL;1980;4900000;136488.5;0;13914450;4396950;5411.9;5609.2;3000;23598502
COL;1990;13375000;961023.4;0;96708630;8959093;202.7;0;10218;125194510
COL;2000;24152400;5267437.5;0;52564240;27915964;1010;0;7700000;118201416
COL;2010;7972600;785756;0;38074670;7023028;239244;0;385000;54650530
COL;2020;2033333.4;97115;0;10636473;266195.66;66,666,665;400;0;13041470
COM;1950;0;0;0;0;0;0;0;0;4004.6
COM;1960;0;4000;0;7000;102;0;0;0;11158.3
COM;1970;0;1300;0;510900;0;0;0;0;523193.6
COM;1980;0;3500;960;38080;12800;1800;0;0;58147.6
COM;1990;10000;77572.4;0;40514.4;0;139.5;0;0;192571.5
COM;2000;0;861.6;4235.1;546490.2;307.4;70;0;0;557438.7
COM;2010;0;5033.5;0;461933.7;0;4566.4;11920;0;484758.7
COM;2020;0;0;0;112938;94,266,664;10,790,667;0;0;218132.67
COG;1950;0;0;0;0;0;0;0;0;0
COG;1960;0;0;0;0;0;0;0;0;0
COG;1970;0;0;2000;0;0;0;0;0;2500
COG;1980;0;0;0;0;6500;0;0;0;11505.2
COG;1990;0;0;0;0;0;0;0;0;20
