iso_code;year;nopif_drought;nopif_earthquakes;nopif_volcanic_activity;nopif_floods;nopif_storms;nopif_landslides;nopif_wildfires;nopif_extreme_temperatures
DEU;1950;0;0;0;0;0;0;0;0
DEU;1960;0;0;0;0;0;0;0;0
DEU;1970;0;0;0;0;0;0;0;0
DEU;1980;0;0;0;0;0;0;0;0
DEU;1990;0;3;0;0;2;0;0;0
DEU;2000;0;0;0;11;45;0;0;17
DEU;2010;0;0;0;0;4;0;0;0
DEU;2020;0;0;0;333;13;0;0;0
GHA;1950;0;0;0;0;0;0;0;0
GHA;1960;0;0;0;0;0;0;0;0
GHA;1970;0;0;0;0;0;0;0;0
GHA;1980;0;0;0;0;0;0;0;0
GHA;1990;0;0;0;3;0;0;0;0
GHA;2000;0;0;0;3;0;0;0;0
GHA;2010;0;0;0;3;1;0;0;0
GHA;2020;0;0;0;2;0;0;0;0
GRC;1950;0;286;0;0;0;0;0;0
GRC;1960;0;70;0;0;0;0;0;0
GRC;1970;0;10;0;0;0;0;0;0
GRC;1980;0;75;0;0;0;0;0;0
GRC;1990;0;224;0;0;0;0;1;0
GRC;2000;0;31;0;0;1;0;9;18
GRC;2010;0;16;0;2;12;0;60;0
GRC;2020;0;17;0;0;0;0;167;0
GRD;1950;0;0;0;0;0;0;0;0
GRD;1960;0;0;0;0;0;0;0;0
GRD;1970;0;0;0;0;0;0;0;0
GRD;1980;0;0;0;0;0;0;0;0
GRD;1990;0;0;0;0;0;0;0;0
GRD;2000;0;0;0;0;0;0;0;0
GRD;2010;0;0;0;0;0;0;0;0
GRD;2020;0;0;0;0;0;0;0;0
GLP;1950;0;0;0;0;0;0;0;0
GLP;1960;0;0;0;0;10;0;0;0
GLP;1970;0;0;0;0;0;0;0;0
GLP;1980;0;0;0;0;8;0;0;0
GLP;1990;0;0;0;0;5;0;0;0
GLP;2000;0;1;0;0;0;0;0;0
GLP;2010;0;0;0;0;0;0;0;0
