iso_code,year,nodf_drought,nodf_earthquakes,nodf_volcanic_activity,nodf_floods,nodf_storms,nodf_landslides,nodf_wildfires,nodf_extreme_temperatures
EGY,1960,0,0.2,0,0,0,0,0,0
EGY,1970,0,0,0,45052,0.3,0,0,0
EGY,1980,0,0,0,0,3,0,0,0
EGY,1990,0,56.2,0,62.4,45139,0,0,45021
EGY,2000,0,0,0,45139,44986,0,0,0.3
EGY,2010,0,0,0,45109,45146,0,0,11
EGY,2020,0,0,0,14.33,0,0,0,0
SLV,1950,0,110,0,0,0,0,0,0
SLV,1960,0,45058,0,0,0.2,0,0,0
SLV,1970,0,0,0,0,0,0,0,0
SLV,1980,0,112,0,54.3,0,44959,0,0
SLV,1990,0,0,0,45108,49.1,44959,0,0
SLV,2000,0,116,0.2,44993,34.5,0,0,0.1
SLV,2010,0,0.1,0,4,45172,0,0,0
SLV,2020,0,0,0,24473,14.67,14,0,0
ERI,1950,0,0,0,0,0,0,0,0
ERI,1960,0,0,0,0,0,0,0,0
ERI,1970,0,0,0,0,0,0,0,0
ERI,1980,0,0,0,0,0,0,0,0
ERI,1990,0,0,0,0,0.3,0,0,0
ERI,2000,0,0,0,0,0,0,0,0
ERI,2010,0,0,0,0,0,0,0,0
ERI,2020,0,0,0,0,0,0,0,0
EST,1950,0,0,0,0,0,0,0,0
EST,1960,0,0,0,0,0,0,0,0
EST,1970,0,0,0,0,0,0,0,0
EST,1980,0,0,0,0,0,0,0,0
EST,1990,0,0,0,0,0,0,0,0
EST,2000,0,0,0,0,0,0,0,0.3
EST,2010,0,0,0,0,0,0,0,0.8
EST,2020,0,0,0,0,0,0,0,0
SWZ,1950,0,0,0,0,0,0,0,0
SWZ,1960,0,0,0,0,0,0,0,0
SWZ,1970,0,0,0,0,0,0,0,0
SWZ,1980,50,0,0,0,44990,0,0,0
SWZ,1990,0,0,0,0,0,0,0,0
SWZ,2000,0,0,0,0,0.1,0,0.2,0
SWZ,2010,0,0,0,44927,0,0,0,0
SWZ,2020,0,0,0,0,0,0,0,0
ETH,1950,0,0,0,0,0,0,0,0
ETH,1960,200,45021,0,0.1,0,0,0,0
ETH,1970,10000,0,45022,45078,0,0,0,0
ETH,1980,30036.7,0,0,45021,0,0,0,0
ETH,1990,0,0,0,44.7,0,44959,0,0
ETH,2000,0,0,0.5,143.9,0,0.4,0,0
ETH,2010,0,0,0,45121,0,45113,0,0
ETH,2020,0,0,0,12298,0,12236,0,0
FJI,1950,0,0,0,0,44987,0,0,0
FJI,1960,0,0,0,0.1,0.2,0,0,0
FJI,1970,0,0,0,0,45057,0,0,0
FJI,1980,0,0,0,45171,44932,0,0,0
FJI,1990,0,0,0,0,45174,0,0,0
FJI,2000,0,0,0,45079,45020,0,0,0
FJI,2010,0,0,0,45047,45174,0,0,0
FJI,2020,0,0,0,0,5,0,0,0
FIN,1950,0,0,0,0,0,0,0,0
FIN,1960,0,0,0,0,0,0,0,0
FIN,1970,0,0,0,0,0,0,0,0
FIN,1980,0,0,0,0,0,0,0,0
FIN,1990,0,0,0,0,0,0,0,0
FIN,2000,0,0,0,0,0,0,0,0
FIN,2010,0,0,0,0,0,0,0,0
FIN,2020,0,0,0,0,0,0,0,0
FRA,1950,0,0,0,45049,0,0,0,0
FRA,1960,0,0.1,0,0,45140,44928,0,0
FRA,1970,0,44927,0,45171,0,45027,0,0
FRA,1980,0,0,0,45112,4,3,45048,0
FRA,1990,0,0,0,6,45068,45019,0,45142
FRA,2000,0,0,0,45020,45144,0,0.7,2089.3
FRA,2010,0,0,0,45055,44965,0,0,472.8
FRA,2020,0,0,0,12055,8,0,0,641.33
GUF,1950,0,0,0,0,0,0,0,0
GUF,1960,0,0,0,0,0,0,0,0
GUF,1970,0,0,0,0,0,0,0,0
GUF,1980,0,0,0,0,0,0,0,0
GUF,1990,0,0,0,0,0,0,0,0
GUF,2000,0,0,0,0,0,1,0,0
GUF,2010,0,0,0,0,0,0,0,0
GUF,2020,0,0,0,0,0,0,0,0
PYF,1950,0,0,0,0,0,0,0,0
PYF,1960,0,0,0,0,0,0,0,0
PYF,1970,0,0,0,0,0,0,0,0
PYF,1980,0,0,0,0,0.7,1,0,0
PYF,1990,0,0,0,0,0,44986,0,0
PYF,2000,0,0,0,0,0,0,0,0
PYF,2010,0,0,0,0,0.1,0,0,0
PYF,2020,0,0,0,0,0,0,0,0
GAB,1950,0,0,0,0,0,0,0,0
GAB,1960,0,0,0,0,0,0,0,0
GAB,1970,0,0,0,0,0,0,0,0
GAB,1980,0,0,0,0,0,0,0,0
GAB,1990,0,0,0,0,0,0,0,0
GAB,2000,0,0,0,0,0,0,0,0
GAB,2010,0,0,0,0.1,0,0,0,0
GAB,2020,0,0,0,0,0,0,0,0
GMB,1950,0,0,0,0,0,0,0,0
GMB,1960,0,0,0,0,0,0,0,0
GMB,1970,0,0,0,0,0,0,0,0
GMB,1980,0,0,0,0,0,0,0,0
GMB,1990,0,0,0,44990,0,0,0,0
GMB,2000,0,0,0,0.6,0.5,0,0,0
GMB,2010,0,0,0,45108,0.4,0,0,0
GMB,2020,0,0,0,2,12114,0,0,0
GEO,1950,0,0,0,0,0,0,0,0
GEO,1960,0,0,0,0,0,0,0,0
GEO,1970,0,0,0,0,0,0,0,0
GEO,1980,0,0,0,0,0,0,0,0
GEO,1990,0,0.9,0,0.8,0,0,0,0
GEO,2000,0,0.6,0,0.1,0,0,0,0
GEO,2010,0,0,0,44962,0,0,0,0
GEO,2020,0,0,0,0,0,0,0,0
